location,Price,bedrooms,bathroom,floor,year_of_construction,size,ft_road,Address
Kathmandu,2850000,0,0,N/A,N/A,0-5-1-0 Aana,12 Feet,"Raniban, Raniban, Kathmandu"
Kathmandu,4000000,0,0,N/A,N/A,3-0-0-0 Ropani,20 Feet,"Thulobharyang, Thulo Bharyang, Kathmandu"
Sunsari,250000,0,0,N/A,N/A,10 Dhur,20 Feet ,"Dharan, Sunsari, Tarahara, Sunsari"
Kathmandu,15000000,0,0,N/A,N/A,0-13-2-2 Aana,20 Feet ,"Opposite of Siddartha Bank, Hattisar, Kathmandu"
Sunsari,235000,0,0,N/A,N/A,13 Dhur,16 Feet ,"Dharan, Sunsari, Tarahara, Sunsari"
Kathmandu,40000,4,3,3,2020,1500 Sq. Feet,22 Feet ,"Ramkot, Sitapaila, Kathmandu"
Kathmandu,5500000,0,0,N/A,N/A,1-2-0-0 Aana,36 Feet,"chuchchepati, Chabahil, Kathmandu"
Kathmandu,200000,6,4,N/A,N/A,10 Aana,0 Feet,"Basbari, Basbari, Kathmandu"
Kathmandu,1150000,0,0,N/A,N/A,0-7-1-0 Aana,11 Feet ,"Ichangu, Swayambhu, Kathmandu"
Kathmandu,30000,6,2,3,2014,1-1-1 Ropani,14 Feet ,"Siddhartha marga, Baghbazaar, Kathmandu"
Kathmandu,40000,3,2,N/A,N/A,10 Aana,0 Feet,"Soaltee mode, Soltimode, Kathmandu"
Kathmandu,200000,5,4,N/A,N/A,25 Aana,0 Feet,"budhanilkantha, Budhanilkantha, Kathmandu"
Makwanpur,300000,0,0,N/A,N/A,9 Ropani,14 Feet ,"Thaha muncipility, Thaha Nagarpalika, Makwanpur"
Kathmandu,4200000,0,0,N/A,N/A,0-13-0-0 Aana,11 Meter ,"Sitapaila, Sitapaila, Kathmandu"
Lalitpur,3500000,0,0,N/A,N/A,1500 Sq. Feet,0 Feet,"Patan, Patan, Lalitpur"
Lalitpur,11900000,2,1,N/A,N/A,683 Sq. Feet,30 Feet,"Jhamsikhel, Jhamsikhel, Lalitpur"
Kathmandu,28500000,6,6,N/A,N/A,0-5-2-0 Aana,20 Feet,"pasikot, Pasikot, Kathmandu"
Lalitpur,21500000,0,0,N/A,N/A,0-3-2-0 Aana,13 Feet ,"Tikathali, Tikathali, Lalitpur"
Kathmandu,20000,2,1,N/A,N/A,3.5 Aana,0 Feet,"Dhumbarahi,Pragati tol, Dhumbarahi, Kathmandu"
Kathmandu,3000000,0,0,N/A,N/A,4 Aana,13 Feet ,"Paiyatar, Kapan, Kapan, Kathmandu"
Lalitpur,12500000,3,1,2,N/A,0-5-0-0 Aana,16 Feet ,"Badikhel (Godawari), Godawari, Lalitpur"
Kathmandu,32500000,11,0,N/A,N/A,4.5 Aana,20 Feet ,"soltee dobato, Bafal, Kathmandu"
Lalitpur,22000000,5,3,2.5,2076,0-4-0-0 Aana,10 Feet ,"Bojepokhari, Panii Tyanki, Imadol, Lalitpur"
Nawalpur,11000000,3,4,N/A,2018,4 Aana,15 Feet ,"Congress chowk, Gaidakot, Nawalpur"
Kathmandu,17000000,0,2,3,2017,3.1 Aana,20 Feet ,"Tarkeshwor, Tarkeshwor, Kathmandu"
Bhaktapur,3000000,0,0,N/A,N/A,0-4-1-0 Aana,13 Feet ,"Katunje, Sallaghari, Bhaktapur"
Lalitpur,11000000,2,1,1.5,2076,0-2-3-0 Aana,13 Feet ,"nearby Panityanki, Tikathali, Lalitpur"
Lalitpur,900000,0,0,N/A,N/A,5 Aana,10 Feet,"Lubhu Lamatar, Lubhu, Lalitpur"
Kathmandu,15000000,0,0,N/A,N/A,0-8-0-0 Aana,45 Feet ,"Maitidevi Main Road, Maitidevi, Kathmandu"
Lalitpur,13000000,4,2,1.5,2076,0-3-0-0 Aana,13 Feet ,"Nearby Buddha party palace, Imadol, Lalitpur"
Kathmandu,42500000,28,0,5,N/A,0-5-1-1 Aana,29 Feet,"satungal,kathmandu, Satungal, Kathmandu"
Kathmandu,1300000,0,0,N/A,N/A,14 Aana,20 Feet ,"Shankharapur, Gokarneshwor, Kathmandu"
Kirtipur,1800000,0,0,N/A,N/A,0-4-3-0 Aana,12 Feet ,"Chandragiri nagarpalika -9, Machhegaun, Kirtipur"
Lalitpur,300000,8,5,N/A,N/A,12 Aana,0 Feet,"pulchowk, Pulchowk, Lalitpur"
Kathmandu,10500000,0,0,N/A,N/A,0-7-1-0 Aana,0 Feet,"kalanki, Balkhu, Kathmandu"
Kathmandu,50000000,3,3,3,2070,5 Ropani,20 Feet ,"Na, Hattisar, Kathmandu"
Chitwan,10500000,4,2,3,2009,4 Aana,13 Feet ,"Naranghat, Bharatpur, Chitwan"
